,Laptop Brand,Laptop Model,Tag
0,Microsoft ," Surface Go 2 con pantalla tactil de 10.5""  Intel Pentium Gold ",1
1,Microsoft ," Surface Go 2 con pantalla tactil de 10.5""  Intel Pentium Gold ",1
2,Dell," Laptop G5 1660TI SSD de 15.6"" NVIDIA GeForce GTX 1660 Ti",1
3,Asus," Laptop ROG STRIX G15 de 15.6"" NVIDIA GeForce GTX 1650 Ti",1
4,Apple ," MacBook Air (ultimo modelo) de 13.""  Core i3 ",1
5,Dell ," Laptop G3 de 15.6""  NVIDIA GeForce GTX 1650 Ti ",1
6,Microsoft ," Surface Book 3 tactil de 13.5""  Core i5 ",1
7,Acer , Laptop A51452,1
8,MSI," Laptop RAIDER 10SFS220MX de 15.6""",1
9,Acer ," Laptop PREDATOR HELIOS 300 de 15.6"" NVIDIA GeForce RTX 2060 ",1
10,HP ," Laptop ENVY X360 13AR0003LA de 13.3"" ",1
11,HP ," Laptop PAVILION 15CW1005LA de 15.6"" ",1
12,MSI ,"Laptop 15.6""Comet lake i7",1
13,Dell ," Laptop INSPIRON G3 15 1650 de 15.6"" NVIDIA GeForce GTX 1650",1
14,Apple ," MacBook Pro de 16"" Core i9",1
15,Apple ," MacBook Pro de 13""  Core i5 ",1
16,Lenovo ," Laptop Legion Y740 I7 de 17.3""  NVIDIA GeForce RTX 2080",1
17,Apple ," MacBook Pro (de 16"" Core i7",1
18,Apple ," MacBook Pro de 13""  Core i5 ",1
19,Lenovo," Laptop LEGION Y540 I5 de 15.6"" NVIDIA GeForce GTX 1650",1
20,Lenovo ," Laptop Yoga Slim 7 de 14""  AMD Ryzen 5 ",1
21,Acer ," Laptop PREDATOR TRITON 300 de 15.6"" NVIDIA GeForce GTX 1660 Ti ",1
22,Acer , Laptop SF31442,1
23,Dell," Laptop gaming NB G515SE de 15.6"" AMD Radeon RX 5600M",1
24,Microsoft ," Surface Go 2 con pantalla tactil de 10.5""  Intel Pentium Gold ",1
25,Microsoft ," Surface Go 2 con pantalla tactil de 10.5""  Intel Pentium Gold ",1
26,Dell," Laptop G5 1660TI SSD de 15.6"" NVIDIA GeForce GTX 1660 Ti",1
27,Asus," Laptop ROG STRIX G15 de 15.6"" NVIDIA GeForce GTX 1650 Ti",1
28,Apple ," MacBook Air (ultimo modelo) de 13.""  Core i3 ",1
29,Dell ," Laptop G3 de 15.6""  NVIDIA GeForce GTX 1650 Ti ",1
30,Microsoft ," Surface Book 3 tactil de 13.5""  Core i5 ",1
31,Acer , Laptop A51452,1
32,MSI," Laptop RAIDER 10SFS220MX de 15.6""",1
33,Acer ," Laptop PREDATOR HELIOS 300 de 15.6"" NVIDIA GeForce RTX 2060 ",1
34,HP ," Laptop ENVY X360 13AR0003LA de 13.3"" ",1
35,HP ," Laptop PAVILION 15CW1005LA de 15.6"" ",1
36,MSI ,"Laptop 15.6""Comet lake i7",1
37,Dell ," Laptop INSPIRON G3 15 1650 de 15.6"" NVIDIA GeForce GTX 1650",1
38,Apple ," MacBook Pro de 16"" Core i9",1
39,Apple ," MacBook Pro de 13""  Core i5 ",1
40,Lenovo ," Laptop Legion Y740 I7 de 17.3""  NVIDIA GeForce RTX 2080",1
41,Apple ," MacBook Pro (de 16"" Core i7",1
42,Apple ," MacBook Pro de 13""  Core i5 ",1
43,Lenovo," Laptop LEGION Y540 I5 de 15.6"" NVIDIA GeForce GTX 1650",1
44,Lenovo ," Laptop Yoga Slim 7 de 14""  AMD Ryzen 5 ",1
45,Acer ," Laptop PREDATOR TRITON 300 de 15.6"" NVIDIA GeForce GTX 1660 Ti ",1
46,Acer , Laptop SF31442,1
47,Dell," Laptop gaming NB G515SE de 15.6"" AMD Radeon RX 5600M",1
48,Microsoft ," Surface Go 2 con pantalla tactil de 10.5""  Intel Pentium Gold ",1
49,Microsoft ," Surface Go 2 con pantalla tactil de 10.5""  Intel Pentium Gold ",1
50,Dell," Laptop G5 1660TI SSD de 15.6"" NVIDIA GeForce GTX 1660 Ti",1
51,Asus," Laptop ROG STRIX G15 de 15.6"" NVIDIA GeForce GTX 1650 Ti",1
52,Apple ," MacBook Air (ultimo modelo) de 13.""  Core i3 ",1
53,Dell ," Laptop G3 de 15.6""  NVIDIA GeForce GTX 1650 Ti ",1
54,Microsoft ," Surface Book 3 tactil de 13.5""  Core i5 ",1
55,Acer , Laptop A51452,1
56,MSI," Laptop RAIDER 10SFS220MX de 15.6""",1
57,Acer ," Laptop PREDATOR HELIOS 300 de 15.6"" NVIDIA GeForce RTX 2060 ",1
58,HP ," Laptop ENVY X360 13AR0003LA de 13.3"" ",1
59,HP ," Laptop PAVILION 15CW1005LA de 15.6"" ",1
60,MSI ,"Laptop 15.6""Comet lake i7",1
61,Dell ," Laptop INSPIRON G3 15 1650 de 15.6"" NVIDIA GeForce GTX 1650",1
62,Apple ," MacBook Pro de 16"" Core i9",1
63,Apple ," MacBook Pro de 13""  Core i5 ",1
64,Lenovo ," Laptop Legion Y740 I7 de 17.3""  NVIDIA GeForce RTX 2080",1
65,Apple ," MacBook Pro (de 16"" Core i7",1
66,Apple ," MacBook Pro de 13""  Core i5 ",1
67,Lenovo," Laptop LEGION Y540 I5 de 15.6"" NVIDIA GeForce GTX 1650",1
68,Lenovo ," Laptop Yoga Slim 7 de 14""  AMD Ryzen 5 ",1
69,Acer ," Laptop PREDATOR TRITON 300 de 15.6"" NVIDIA GeForce GTX 1660 Ti ",1
70,Acer , Laptop SF31442,1
71,Dell," Laptop gaming NB G515SE de 15.6"" AMD Radeon RX 5600M",1
